,degree,weighted_degree,eigenvector_centrality,betweenness,consistency_mean,consistency_min,consistency_max,consistency_std,consistency_mean_min_std,consistency_neighbors_0.8,consistency_neighbors_0.9,consistency_neighbors_1.0,ccode,name,latitude,longitude,consensus
PAR,33,34.0,0.9360952593819657,0.0,0.9945454545454545,0.8200000000000001,1.0,0.03085556863359479,0.9636898859118597,1.0,0.9696969696969697,0.9696969696969697,150,Paraguay,-23.3165935,-58.169344499999994,1
GAB,11,11.0,0.003633067548316804,1804.717705949688,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,481,Gabon,-0.8999695,11.689969900000001,4
ROK,2,2.0,0.030255195605666974,37.11904761904763,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,732,South Korea,36.5581914,127.9408564,5
AAB,33,43.0,0.9360952593819647,0.0,0.9945454545454545,0.8200000000000001,1.0,0.03085556863359479,0.9636898859118597,1.0,0.9696969696969697,0.9696969696969697,58,Antigua & Barbuda,17.086,-61.7862945,1
SVG,33,43.0,0.9360952593819657,0.0,0.9945454545454545,0.8200000000000001,1.0,0.03085556863359479,0.9636898859118597,1.0,0.9696969696969697,0.9696969696969697,57,St. Vincent and the Grenadines,12.90447,-61.2765569,1
CAP,14,14.0,0.00153132537222273,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,402,Cape Verde,16.0000552,-24.0083947,0
URU,33,33.0,0.9360952593819647,0.0,0.9945454545454545,0.8200000000000001,1.0,0.030855568633594795,0.9636898859118597,1.0,0.9696969696969697,0.9696969696969697,165,Uruguay,-32.8755548,-56.0201525,1
SYR,20,37.0,5.5233284573274767e-05,1796.0600718280903,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,652,Syria,34.6401861,39.0494106,3
ZAM,10,10.0,3.2636029682191645e-05,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,551,Zambia,-14.5186239,27.5599164,4
CZR,19,19.0,0.11716282234256827,86.19841269841271,0.9810526315789474,0.8200000000000001,1.0,0.0552405968985344,0.925812034680413,1.0,0.8947368421052632,0.8947368421052632,316,Czech Republic,49.816700299999994,15.4749544,2
STP,10,10.0,0.00015185530791760675,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,403,Sao Tome and Principe,0.8875497999999999,6.964871799999999,4
SUR,33,33.0,0.9360952593819655,0.0,0.9945454545454545,0.8200000000000001,1.0,0.03085556863359479,0.9636898859118597,1.0,0.9696969696969697,0.9696969696969697,115,Suriname,4.1413025,-56.07711870000001,1
VEN,33,34.0,0.9360952593819651,0.0,0.9945454545454545,0.8200000000000001,1.0,0.03085556863359479,0.9636898859118597,1.0,0.9696969696969697,0.9696969696969697,101,Venezuela,8.0018709,-66.1109318,1
IRN,8,8.0,0.0016796468252514654,1859.682095637614,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,630,Iran,32.6475314,54.56435160000001,5
ETH,2,2.0,9.86793247825727e-07,136.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,530,Ethiopia,10.211670199999999,38.6521203,4
PAK,8,8.0,0.030802890255096076,1489.1645330028402,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,770,Pakistan,30.3308401,71.247499,5
COL,33,34.0,0.9360952593819648,0.0,0.9945454545454545,0.8200000000000001,1.0,0.03085556863359479,0.9636898859118597,1.0,0.9696969696969697,0.9696969696969697,100,Colombia,2.8894433999999998,-73.78389200000001,1
USA,56,59.0,1.0,4034.1974695107797,0.8392857142857144,0.8200000000000001,1.0,0.055673061671856754,0.7836126526138577,1.0,0.10714285714285714,0.10714285714285714,2,United States of America,39.7837304,-100.4458825,1
DEN,18,19.0,0.11703908242536609,0.0,0.99,0.8200000000000001,1.0,0.04123105625617659,0.9487689437438234,1.0,0.9444444444444444,0.9444444444444444,390,Denmark,55.670249,10.333328300000002,2
IRQ,19,35.0,6.0233830042803895e-06,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,645,Iraq,33.0955793,44.174977500000004,3
ALG,19,39.0,6.023383004204029e-06,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,615,Algeria,28.000027199999998,2.9999825,3
TAJ,15,31.0,0.004372699155610517,92.21795636645827,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,702,Tajikistan,38.62817329999999,70.8156541,5
HUN,19,19.0,0.11734978311263747,43.68330280830283,0.9905263157894737,0.8200000000000001,1.0,0.04019343808849848,0.9503328777009752,1.0,0.9473684210526315,0.9473684210526315,310,Hungary,47.1817585,19.5060937,2
UKG,18,27.0,0.11703908242536624,0.0,0.99,0.8200000000000001,1.0,0.04123105625617659,0.9487689437438234,1.0,0.9444444444444444,0.9444444444444444,200,United Kingdom,55.367,-3.9614184,2
MON,1,1.0,0.0014166435817870658,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,712,Mongolia,46.825038799999994,103.8499736,5
LIT,4,4.0,0.004361678581381063,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,368,Lithuania,55.350000300000005,23.7499997,5
SEN,14,14.0,0.0015313253722226536,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,433,Senegal,14.475060699999998,-14.452961199999999,0
BOS,2,2.0,0.00011229102828003162,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,346,Bosnia and Herzegovina,44.305347600000005,17.596146700000002,2
TUN,19,39.0,6.023383004051306e-06,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,616,Tunisia,33.8439408,9.400138,3
SLO,4,4.0,0.004223527226395086,23.778373015873033,0.74,0.5,0.8200000000000001,0.13856406460551024,0.6014359353944898,0.75,0.0,0.0,317,Slovakia,48.74115220000001,19.4528646,5
JOR,20,36.0,6.034054424629096e-06,67.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,663,Jordan,31.1667049,36.941628,3
EGY,20,36.0,6.034054424705457e-06,67.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,651,Egypt,26.254049300000002,29.2675469,3
ARG,33,35.0,0.9360952593819653,0.0,0.9945454545454545,0.8200000000000001,1.0,0.03085556863359479,0.9636898859118597,1.0,0.9696969696969697,0.9696969696969697,160,Argentina,-34.9964963,-64.9672817,1
LEB,19,36.0,6.023383004204029e-06,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,660,Lebanon,33.875062899999996,35.843409,3
MEX,33,33.0,0.9360952593819647,0.0,0.9945454545454545,0.8200000000000001,1.0,0.030855568633594795,0.9636898859118597,1.0,0.9696969696969697,0.9696969696969697,70,Mexico,19.4326009,-99.1333416,1
NIR,14,14.0,0.0015313253722225389,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,436,Niger,17.7356214,9.323843199999999,0
RUS,21,42.0,0.046936651563822075,785.0124822662267,0.9847619047619047,0.6799999999999999,1.0,0.06814683359999361,0.9166150711619111,0.9523809523809523,0.9523809523809523,0.9523809523809523,365,Russia,64.6863136,97.7453061,5
POR,18,27.0,0.11703908242536616,0.0,0.99,0.8200000000000001,1.0,0.04123105625617659,0.9487689437438234,1.0,0.9444444444444444,0.9444444444444444,235,Portugal,40.0332629,-7.889626299999999,2
